R_turns,Z_turns,I (A),R_av,dr,dz,Coil_X,Coil_Y,Coil_Z,Normal_x,Normal_y,Normal_z
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.5948275862068966,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.6120689655172413,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.6293103448275863,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.646551724137931,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.6637931034482758,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.6810344827586208,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.6982758620689655,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.7155172413793103,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.7327586206896552,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.75,0,0,1
