x,y,z,Fx,Fy,Fz,Fr,hoop_s
0.37599970069291344,2.9763441039434335,-42.714285714285715,642642.9931496091,6798452.742777721,334865.2156920715,6825389.436660395,16050746.836805858
0.18837155858794052,2.9940801852848145,-42.714285714285715,214496.50428598525,6825389.436660679,334865.2156920713,6825389.436660681,16050746.836805858
1.8369701987210297e-16,3.0,-42.714285714285715,-214496.50428597577,6825389.436660891,334865.2156920714,6825389.4366608905,16050746.836805858
-0.1883715585879402,2.994080185284815,-42.714285714285715,-642642.9931496823,6798452.742778131,334865.2156920706,6825389.43666081,16050746.836805858
-0.37599970069291244,2.976344103943433,-42.714285714285715,-1068253.2637149983,6744685.661837237,334865.2156920715,6825389.436660714,16050746.836805858
-0.5621439437571739,2.946861752186066,-42.714285714285715,-1489647.6266869097,6664300.387942709,334865.2156920717,6825389.436660475,16050746.836805858
-0.7460696614945648,2.905749483385894,-42.714285714285715,-1905163.0310316694,6557614.1650465075,334865.21569206915,6825389.436660553,16050746.836805858
-0.9270509831248415,2.8531695488854614,-42.714285714285715,-2313159.627279124,6425048.034929874,334865.21569207177,6825389.436660698,16050746.836805858
-1.1043736580540333,2.7893294576647545,-42.714285714285715,-2712027.2392596947,6267125.175544267,334865.215692072,6825389.436660476,16050746.836805858
-1.2773378746952182,2.7144811573980583,-42.714285714285715,-3100191.7187344455,6084468.836268288,334865.2156920709,6825389.436660644,16050746.836805858
-1.445261022305146,2.6289200401315904,-42.714285714285715,-3476121.1578381355,5877799.878224774,334865.2156920712,6825389.436660608,16050746.836805858
-1.6074803849369903,2.532983776506045,-42.714285714285715,-3838331.9348205994,5647933.929373318,334865.2156920694,6825389.436660671,16050746.836805858
-1.7633557568774187,2.427050983124843,-42.714285714285715,-4185394.56922354,5395778.165598393,334865.2156920716,6825389.436660985,16050746.836805858
-1.9122719692460688,2.311539728327368,-42.714285714285715,-4515939.363386394,5122327.730500064,334865.2156920721,6825389.436660867,16050746.836805858
-2.053641317786066,2.1869058822642344,-42.714285714285715,-4828661.808018309,4828661.808018309,334865.21569206996,6825389.436660621,16050746.836805858
-2.186905882264234,2.0536413177860666,-42.714285714285715,-5122327.730500069,4515939.363386416,334865.2156920725,6825389.436660886,16050746.836805858
-2.311539728327368,1.9122719692460692,-42.714285714285715,-5395778.165598298,4185394.5692234566,334865.2156920708,6825389.436660859,16050746.836805858
-2.4270509831248424,1.7633557568774194,-42.714285714285715,-5647933.929373137,3838331.934820465,334865.21569207014,6825389.436660445,16050746.836805858
-2.5329837765060446,1.6074803849369905,-42.714285714285715,-5877799.8782247,3476121.1578381048,334865.2156920726,6825389.436660529,16050746.836805858
-2.628920040131591,1.4452610223051454,-42.714285714285715,-6084468.83626831,3100191.7187344455,334865.21569206845,6825389.436660663,16050746.836805858
-2.714481157398058,1.2773378746952186,-42.714285714285715,-6267125.175544253,2712027.2392596826,334865.21569207223,6825389.436660459,16050746.836805858
-2.7893294576647536,1.1043736580540344,-42.714285714285715,-6425048.034929616,2313159.627279049,334865.2156920716,6825389.436660431,16050746.836805858
-2.853169548885461,0.9270509831248427,-42.714285714285715,-6557614.165046515,1905163.0310316528,334865.21569206845,6825389.436660557,16050746.836805858
-2.9057494833858932,0.7460696614945658,-42.714285714285715,-6664300.38794292,1489647.6266869635,334865.215692074,6825389.436660691,16050746.836805858
-2.9468617521860656,0.5621439437571737,-42.714285714285715,-6744685.661837404,1068253.2637150486,334865.2156920691,6825389.436660886,16050746.836805858
-2.976344103943433,0.3759997006929136,-42.714285714285715,-6798452.742778417,642642.9931496911,334865.2156920714,6825389.436661095,16050746.836805858
-2.9940801852848145,0.18837155858794075,-42.714285714285715,-6825389.436660904,214496.50428599227,334865.21569207136,6825389.436660905,16050746.836805858
-3.0,3.6739403974420594e-16,-42.714285714285715,-6825389.4366609175,-214496.50428597664,334865.21569207136,6825389.436660918,16050746.836805858
-2.994080185284815,-0.18837155858794,-42.714285714285715,-6798452.74277819,-642642.9931496856,334865.21569207084,6825389.43666087,16050746.836805858
-2.976344103943433,-0.37599970069291294,-42.714285714285715,-6744685.661837437,-1068253.2637150462,334865.21569207154,6825389.436660919,16050746.836805858
-2.9468617521860656,-0.5621439437571744,-42.714285714285715,-6664300.387943132,-1489647.626686999,334865.2156920689,6825389.436660906,16050746.836805858
-2.905749483385894,-0.7460696614945639,-42.714285714285715,-6557614.165046791,-1905163.0310317364,334865.21569207165,6825389.436660844,16050746.836805858
-2.8531695488854614,-0.927050983124842,-42.714285714285715,-6425048.034930062,-2313159.627279206,334865.21569207066,6825389.436660901,16050746.836805858
-2.789329457664754,-1.104373658054034,-42.714285714285715,-6267125.175544489,-2712027.23925979,334865.21569206874,6825389.436660718,16050746.836805858
-2.7144811573980587,-1.2773378746952169,-42.714285714285715,-6084468.836268579,-3100191.7187345847,334865.2156920736,6825389.436660966,16050746.836805858
