X,Y,Z
-7.041200227059759e-16 , 5.723750076114264 , 3.8330508747295506
-7.164778560572853e-16 , 5.709928278326252 , 3.9003237861785953
-7.288284098477156e-16 , 5.694730309811762 , 3.967557069543939
-7.411719193305081e-16 , 5.6781620978443215 , 4.034752005484579
-7.535086094901986e-16 , 5.660227692211748 , 4.101909818759284
-7.658386960066138e-16 , 5.640929318879797 , 4.169031683474346
-7.781623815160356e-16 , 5.620267427461098 , 4.2361187027303036
-7.904798613962786e-16 , 5.5982407251771225 , 4.303171940114442
-8.027913217973691e-16 , 5.574846194677013 , 4.370192408980308
-8.150969405291853e-16 , 5.550079104232296 , 4.437181077279792
-8.273968877781873e-16 , 5.523933005939698 , 4.504138871464836
-8.396913263509304e-16 , 5.496399723235484 , 4.571066677813044
-8.51980412130969e-16 , 5.467469327863498 , 4.637965344914964
-8.642642946194779e-16 , 5.437130105449577 , 4.704835686617085
-8.765431168360917e-16 , 5.405368510769012 , 4.771678481482036
-8.888170160777262e-16 , 5.37216911081811 , 4.838494476919415
-9.010861245663096e-16 , 5.337514513856892 , 4.905284392711874
-9.133505681394402e-16 , 5.30138528940166 , 4.9720489138873925
-9.256104694138907e-16 , 5.263759867269638 , 5.038788707940591
-9.378659449195637e-16 , 5.224614426714723 , 5.105504409230713
-9.501171072805806e-16 , 5.18392276622837 , 5.172196630854922
-9.623640650347667e-16 , 5.141656152904121 , 5.238865963665617
-9.746069214916948e-16 , 5.09778315573419 , 5.305512970053919
-9.868457785132469e-16 , 5.05226944346103 , 5.372138204530087
-9.990807316549976e-16 , 5.005077568955675 , 5.43874218727444
-1.0113118750905734e-15 , 4.956166711033025 , 5.505325430944325
-1.0235392988244692e-15 , 4.905492385316531 , 5.571888425501389
-1.0357630886355997e-15 , 4.853006119143121 , 5.638431637904297
-1.0479833306912065e-15 , 4.798655059326046 , 5.704955537225663
-1.0602001030198825e-15 , 4.742381555214626 , 5.771460548233364
-1.072413485361225e-15 , 4.684122646505488 , 5.837947105009549
-1.0846235547478041e-15 , 4.623809476636336 , 5.904415626899997
-1.0968303839325168e-15 , 4.561366629586637 , 5.970866509953035
-1.1090340416232855e-15 , 4.496711361000839 , 6.037300128197171
-1.1212345979579774e-15 , 4.429752668945328 , 6.10371686344517
-1.1334321201175732e-15 , 4.360390213458705 , 6.170117081413258
-1.145626671387817e-15 , 4.288513056216278 , 6.236501126612979
-1.1578183145413847e-15 , 4.213998144107405 , 6.302869340762866
-1.1700071092564499e-15 , 4.136708499496953 , 6.369222048735763
-1.1821931153997606e-15 , 4.056491023870704 , 6.435559576431069
-1.1943763891592503e-15 , 3.9731738402551304 , 6.501882229721646
-1.2065569866900824e-15 , 3.8865630223637395 , 6.568190314301965
-1.2187349613431377e-15 , 3.7964385443209134 , 6.634484120600696
-1.2309103653391258e-15 , 3.7025492085670972 , 6.700763932894141
-1.2430832503514264e-15 , 3.6046062001592993 , 6.7670300324790755
-1.2552536665912454e-15 , 3.502274806256673 , 6.833282692692576
-1.2674216622010445e-15 , 3.395163626582031 , 6.899522175609996
-1.2795872859683304e-15 , 3.2828102393661895 , 6.965748746818152
-1.2917505852911997e-15 , 3.1646618012410332 , 7.031962664340265
-1.3039116080477697e-15 , 3.040048221793067 , 7.098164188812665
-1.3160704019865709e-15 , 2.908144075229815 , 7.164353580166246
-1.328227016731813e-15 , 2.767912880076986 , 7.230531108542624
-1.3403815057006637e-15 , 2.6180225452168173 , 7.2966970647313145
-1.3525339291479803e-15 , 2.4567113340730695 , 7.362851776744485
-1.3646843618446218e-15 , 2.2815634740093893 , 7.4289956516157325
-1.3768329111306079e-15 , 2.089106260461754 , 7.495129273676909
-1.3889797651558115e-15 , 1.8740160327593185 , 7.561253667168217
-1.4011253626430643e-15 , 1.6273333796951364 , 7.627371220385515
-1.4132713033828901e-15 , 1.3315389076208755 , 7.693490642182789
-1.4254574772866786e-15 , 0.9383311662321936 , 7.7598290831236
-1.4373734828861086e-15 , -0.008701098671447829 , 7.82469679631637
-1.4251873089840989e-15 , -0.9506142601574178 , 7.758358355385242
-1.4130413682442734e-15 , -1.3378906971586364 , 7.69223893358797
-1.4008957707570204e-15 , -1.632410215519957 , 7.62612138037067
-1.3887489167318168e-15 , -1.8783786935625095 , 7.559996986879362
-1.376600367445831e-15 , -2.092991624842721 , 7.493863364818187
-1.364449934749189e-15 , -2.2850995218969947 , 7.427719489946938
-1.3522975113018725e-15 , -2.459976801939825 , 7.361564777933768
-1.340143022333022e-15 , -2.621070032573386 , 7.295398821745077
-1.32798640758778e-15 , -2.7707796102568274 , 7.229221293368701
-1.3158276136489788e-15 , -2.910857538600431 , 7.163031902015119
-1.3036665908924087e-15 , -3.042629393745765 , 7.096830377542718
-1.2915032915695395e-15 , -3.167127109369728 , 7.030616460020607
-1.2793376678022537e-15 , -3.2851728337551247 , 6.96438988881245
-1.2671696721924542e-15 , -3.397434209939216 , 6.898150405895029
-1.2549992559526352e-15 , -3.5044622300956556 , 6.831897745681529
